Business,City,Product/Service,Startup_Cost_PKR,Cost_per_Unit,Price_per_Unit,Marketing_Channel,Failure_Risk
Mobile Repair Shop,Karachi,Mobile Repair Shop,32375,96,117,Word of Mouth,0.39
Tea & Snacks Stall,Faisalabad,Tea & Snacks Stall,17803,74,113,Flyers,0.34
Veggie Juice Stand,Faisalabad,Veggie Juice Stand,44462,72,126,Word of Mouth,0.37
Local Snacks Delivery,Faisalabad,Local Snacks Delivery,23175,91,171,Flyers,0.77
Flower Stall,Faisalabad,Flower Stall,37467,51,109,Local Advertising,0.51
Local Snacks Delivery,Peshawar,Local Snacks Delivery,10147,56,138,Social Media,0.57
Street Clothing Vendor,Faisalabad,Street Clothing Vendor,13251,85,180,Local Advertising,0.17
Online Tutoring,Peshawar,Online Tutoring,8380,43,53,Local Advertising,0.21
Local Snacks Delivery,Lahore,Local Snacks Delivery,30324,18,45,Word of Mouth,0.37
Veggie Juice Stand,Faisalabad,Veggie Juice Stand,6973,62,145,Word of Mouth,0.8
Samosa Stall,Peshawar,Samosa Stall,48066,26,87,Word of Mouth,0.53
Small Tuition Center,Islamabad,Small Tuition Center,48293,53,70,Local Advertising,0.4
Fruit Stall,Karachi,Fruit Stall,43316,9,23,Flyers,0.19
Handmade Jewelry,Karachi,Handmade Jewelry,6248,16,55,Flyers,0.53
Mobile Accessories,Islamabad,Mobile Accessories,46180,39,92,Word of Mouth,0.25
Street Clothing Vendor,Multan,Street Clothing Vendor,27682,88,160,Local Advertising,0.58
Juice Bar,Karachi,Juice Bar,42869,10,92,Flyers,0.66
Dahi Bhallay Stall,Faisalabad,Dahi Bhallay Stall,46335,92,116,Social Media,0.7
Laundry Shop,Peshawar,Laundry Shop,15438,94,139,Social Media,0.72
Street Photography,Karachi,Street Photography,30592,72,128,Flyers,0.64
Candle Stall,Faisalabad,Candle Stall,31079,78,168,Flyers,0.67
Samosa Stall,Lahore,Samosa Stall,44035,41,128,Social Media,0.74
Samosa Stall,Lahore,Samosa Stall,37503,27,64,Flyers,0.49
Laundry Shop,Lahore,Laundry Shop,40658,83,143,Word of Mouth,0.59
Online Tutoring,Peshawar,Online Tutoring,35622,100,183,Flyers,0.63
Fresh Milk Seller,Faisalabad,Fresh Milk Seller,11393,18,98,Local Advertising,0.61
Fresh Milk Seller,Faisalabad,Fresh Milk Seller,30558,52,64,Local Advertising,0.75
Ice Cream Cart,Islamabad,Ice Cream Cart,7851,46,107,Flyers,0.28
Fresh Milk Seller,Faisalabad,Fresh Milk Seller,41451,31,51,Local Advertising,0.66
Pakora Stall,Peshawar,Pakora Stall,16957,15,78,Social Media,0.56
Juice Bar,Lahore,Juice Bar,35190,22,106,Flyers,0.78
Veggie Juice Stand,Faisalabad,Veggie Juice Stand,18160,32,47,Local Advertising,0.43
Coffee Cart,Faisalabad,Coffee Cart,12187,70,117,Local Advertising,0.29
Dahi Bhallay Stall,Faisalabad,Dahi Bhallay Stall,29348,5,89,Flyers,0.47
Tea & Snacks Stall,Faisalabad,Tea & Snacks Stall,40987,88,100,Social Media,0.75
Street Photography,Faisalabad,Street Photography,15536,82,168,Flyers,0.59
Veggie Juice Stand,Multan,Veggie Juice Stand,20315,79,149,Local Advertising,0.62
Coffee Cart,Lahore,Coffee Cart,45294,96,134,Social Media,0.71
Bakery Stall,Lahore,Bakery Stall,33364,71,129,Social Media,0.6
Candle Stall,Multan,Candle Stall,33318,30,120,Social Media,0.42
Fruit Stall,Karachi,Fruit Stall,13454,76,164,Local Advertising,0.58
Fitness Trainer,Multan,Fitness Trainer,47157,8,52,Social Media,0.63
Flower Stall,Lahore,Flower Stall,35437,51,99,Word of Mouth,0.72
Pakora Stall,Multan,Pakora Stall,44875,26,91,Flyers,0.15
Handmade Jewelry,Islamabad,Handmade Jewelry,35052,94,188,Local Advertising,0.36
Chai Stall,Karachi,Chai Stall,38749,21,86,Word of Mouth,0.41
Juice Bar,Peshawar,Juice Bar,20750,41,60,Local Advertising,0.12
Stationery Kiosk,Islamabad,Stationery Kiosk,27719,42,92,Social Media,0.21
Online Tutoring,Multan,Online Tutoring,31853,26,118,Local Advertising,0.34
Stationery Shop,Karachi,Stationery Shop,17425,60,96,Local Advertising,0.51
Coffee Cart,Lahore,Coffee Cart,24394,19,114,Local Advertising,0.3
Flower Stall,Karachi,Flower Stall,20297,83,143,Flyers,0.39
Handmade Jewelry,Karachi,Handmade Jewelry,27253,86,114,Word of Mouth,0.36
Mobile Repair Shop,Faisalabad,Mobile Repair Shop,32901,69,107,Flyers,0.68
Stationery Shop,Karachi,Stationery Shop,39332,25,83,Flyers,0.55
Fitness Trainer,Lahore,Fitness Trainer,10875,70,127,Social Media,0.6
Flower Stall,Peshawar,Flower Stall,30199,32,59,Social Media,0.64
Mobile Repair Shop,Lahore,Mobile Repair Shop,16179,63,152,Word of Mouth,0.27
Local Snacks Delivery,Karachi,Local Snacks Delivery,22849,94,131,Flyers,0.69
Mini Grocery,Peshawar,Mini Grocery,29839,20,76,Word of Mouth,0.42
Candle Stall,Multan,Candle Stall,12978,24,109,Flyers,0.24
Repair Electronics,Islamabad,Repair Electronics,25968,30,104,Local Advertising,0.18
Stationery Shop,Peshawar,Stationery Shop,8721,97,148,Flyers,0.68
Online Tutoring,Lahore,Online Tutoring,17161,100,194,Flyers,0.59
Shawarma Stand,Islamabad,Shawarma Stand,19739,23,48,Flyers,0.52
Veggie Juice Stand,Faisalabad,Veggie Juice Stand,47078,26,82,Social Media,0.55
Ice Cream Cart,Multan,Ice Cream Cart,39815,41,107,Local Advertising,0.63
Local Snacks Delivery,Islamabad,Local Snacks Delivery,33584,95,126,Social Media,0.21
Fresh Milk Seller,Multan,Fresh Milk Seller,20085,71,105,Social Media,0.51
Dahi Bhallay Stall,Multan,Dahi Bhallay Stall,13439,14,41,Local Advertising,0.52
Pakora Stall,Karachi,Pakora Stall,34298,58,142,Local Advertising,0.49
Handmade Jewelry,Peshawar,Handmade Jewelry,10866,88,155,Word of Mouth,0.65
Samosa Stall,Islamabad,Samosa Stall,29445,23,83,Local Advertising,0.63
Handmade Jewelry,Lahore,Handmade Jewelry,33641,78,101,Local Advertising,0.43
Small Tuition Center,Lahore,Small Tuition Center,13155,33,121,Word of Mouth,0.68
Dahi Bhallay Stall,Islamabad,Dahi Bhallay Stall,34951,85,156,Local Advertising,0.76
Mini Grocery,Karachi,Mini Grocery,34643,14,79,Word of Mouth,0.47
Flower Stall,Peshawar,Flower Stall,35690,81,107,Social Media,0.6
Fruit Stall,Islamabad,Fruit Stall,5785,43,80,Word of Mouth,0.51
Handmade Jewelry,Islamabad,Handmade Jewelry,33579,87,184,Flyers,0.42
Repair Electronics,Multan,Repair Electronics,42665,37,121,Local Advertising,0.13
Handmade Jewelry,Islamabad,Handmade Jewelry,45820,25,112,Local Advertising,0.65
Online Tutoring,Faisalabad,Online Tutoring,7531,46,58,Local Advertising,0.52
Stationery Kiosk,Karachi,Stationery Kiosk,21604,5,25,Social Media,0.55
Chai Stall,Karachi,Chai Stall,8449,29,119,Social Media,0.35
Dahi Bhallay Stall,Islamabad,Dahi Bhallay Stall,44903,9,101,Word of Mouth,0.23
Local Snacks Delivery,Multan,Local Snacks Delivery,45151,98,166,Social Media,0.45
Chai Stall,Lahore,Chai Stall,23091,88,129,Local Advertising,0.35
Handmade Jewelry,Islamabad,Handmade Jewelry,38816,91,113,Social Media,0.52
Chai Stall,Multan,Chai Stall,34537,85,106,Local Advertising,0.63
Chai Stall,Lahore,Chai Stall,31424,73,93,Flyers,0.66
Handmade Jewelry,Lahore,Handmade Jewelry,23508,80,126,Social Media,0.26
Shawarma Stand,Multan,Shawarma Stand,11305,30,97,Local Advertising,0.39
Dahi Bhallay Stall,Multan,Dahi Bhallay Stall,49638,64,133,Social Media,0.19
Coffee Cart,Karachi,Coffee Cart,46443,24,80,Social Media,0.76
Stationery Kiosk,Lahore,Stationery Kiosk,10659,28,67,Local Advertising,0.1
Veggie Juice Stand,Peshawar,Veggie Juice Stand,33531,98,181,Flyers,0.3
Online Tutoring,Islamabad,Online Tutoring,15843,93,107,Flyers,0.23
Laundry Shop,Multan,Laundry Shop,26046,51,117,Word of Mouth,0.21
Ice Cream Cart,Peshawar,Ice Cream Cart,49070,8,34,Flyers,0.4
Candle Stall,Islamabad,Candle Stall,24967,60,150,Social Media,0.13
Samosa Stall,Peshawar,Samosa Stall,16958,27,113,Flyers,0.13
Handmade Jewelry,Islamabad,Handmade Jewelry,16870,43,69,Word of Mouth,0.65
Fruit Smoothie Stall,Multan,Fruit Smoothie Stall,37855,40,90,Social Media,0.52
Local Snacks Delivery,Multan,Local Snacks Delivery,27379,26,51,Social Media,0.65
Ice Cream Cart,Karachi,Ice Cream Cart,37589,86,167,Social Media,0.37
Fitness Trainer,Lahore,Fitness Trainer,41051,82,109,Word of Mouth,0.69
Chai Stall,Multan,Chai Stall,14919,81,142,Local Advertising,0.79
Handmade Jewelry,Lahore,Handmade Jewelry,22648,87,168,Local Advertising,0.57
Bakery Stall,Lahore,Bakery Stall,32538,99,149,Flyers,0.35
Chai Stall,Karachi,Chai Stall,28188,14,110,Flyers,0.65
Fruit Smoothie Stall,Islamabad,Fruit Smoothie Stall,18851,81,104,Flyers,0.44
Repair Electronics,Multan,Repair Electronics,21143,59,90,Local Advertising,0.17
Street Clothing Vendor,Karachi,Street Clothing Vendor,13894,68,90,Word of Mouth,0.15
Fresh Milk Seller,Multan,Fresh Milk Seller,6494,90,110,Local Advertising,0.41
Flower Stall,Lahore,Flower Stall,20809,29,52,Word of Mouth,0.32
Candle Stall,Islamabad,Candle Stall,28355,45,112,Flyers,0.28
Chai Stall,Lahore,Chai Stall,19687,21,120,Flyers,0.35
Tea & Snacks Stall,Islamabad,Tea & Snacks Stall,18039,46,134,Flyers,0.66
Stationery Kiosk,Faisalabad,Stationery Kiosk,19353,70,113,Local Advertising,0.61
Local Snacks Delivery,Islamabad,Local Snacks Delivery,41739,15,77,Word of Mouth,0.47
Fruit Smoothie Stall,Faisalabad,Fruit Smoothie Stall,28514,31,52,Flyers,0.25
Veggie Juice Stand,Peshawar,Veggie Juice Stand,8214,74,108,Local Advertising,0.74
Mini Grocery,Multan,Mini Grocery,48473,80,126,Social Media,0.7
Stationery Kiosk,Karachi,Stationery Kiosk,30491,64,140,Word of Mouth,0.29
Dahi Bhallay Stall,Lahore,Dahi Bhallay Stall,25353,67,165,Local Advertising,0.19
Mobile Accessories,Peshawar,Mobile Accessories,14710,95,164,Flyers,0.68
Mobile Repair Shop,Karachi,Mobile Repair Shop,8434,89,107,Flyers,0.62
Pakora Stall,Multan,Pakora Stall,26372,83,110,Social Media,0.64
Online Tutoring,Lahore,Online Tutoring,38561,12,70,Word of Mouth,0.42
Dahi Bhallay Stall,Peshawar,Dahi Bhallay Stall,24488,20,31,Flyers,0.24
Fitness Trainer,Islamabad,Fitness Trainer,46280,89,125,Social Media,0.18
Repair Electronics,Multan,Repair Electronics,35429,90,102,Local Advertising,0.55
Shawarma Stand,Multan,Shawarma Stand,33875,75,93,Word of Mouth,0.66
Coffee Cart,Peshawar,Coffee Cart,47279,30,48,Social Media,0.58
Tea & Snacks Stall,Multan,Tea & Snacks Stall,20305,11,43,Social Media,0.55
Ice Cream Cart,Faisalabad,Ice Cream Cart,12450,70,88,Local Advertising,0.17
Bakery Stall,Lahore,Bakery Stall,43814,70,94,Word of Mouth,0.17
Mini Grocery,Islamabad,Mini Grocery,39687,55,121,Social Media,0.15
Handmade Jewelry,Peshawar,Handmade Jewelry,43012,30,81,Social Media,0.31
Fruit Smoothie Stall,Islamabad,Fruit Smoothie Stall,8002,6,95,Flyers,0.42
Stationery Shop,Karachi,Stationery Shop,9220,96,174,Local Advertising,0.76
Coffee Cart,Multan,Coffee Cart,45948,97,137,Word of Mouth,0.47
Fresh Milk Seller,Karachi,Fresh Milk Seller,12098,57,78,Word of Mouth,0.66
Ice Cream Cart,Peshawar,Ice Cream Cart,31722,11,97,Local Advertising,0.33
Coffee Cart,Peshawar,Coffee Cart,26968,63,151,Word of Mouth,0.36
Tea & Snacks Stall,Faisalabad,Tea & Snacks Stall,23752,50,96,Social Media,0.37
Local Snacks Delivery,Lahore,Local Snacks Delivery,25734,8,58,Word of Mouth,0.2
Coffee Cart,Peshawar,Coffee Cart,18675,72,137,Flyers,0.24
Laundry Shop,Islamabad,Laundry Shop,11897,5,90,Social Media,0.24
Laundry Shop,Multan,Laundry Shop,24901,100,172,Flyers,0.65
Veggie Juice Stand,Faisalabad,Veggie Juice Stand,28334,90,163,Flyers,0.71
Fruit Stall,Multan,Fruit Stall,49073,81,176,Flyers,0.65
Shawarma Stand,Lahore,Shawarma Stand,48774,39,105,Flyers,0.2
Mini Grocery,Faisalabad,Mini Grocery,36172,51,112,Flyers,0.14
Mini Grocery,Karachi,Mini Grocery,29008,59,69,Social Media,0.48
Handmade Jewelry,Multan,Handmade Jewelry,12493,17,61,Word of Mouth,0.19
Fruit Stall,Islamabad,Fruit Stall,32159,13,101,Social Media,0.23
Local Snacks Delivery,Faisalabad,Local Snacks Delivery,23146,67,118,Word of Mouth,0.67
Mini Grocery,Karachi,Mini Grocery,48735,95,177,Social Media,0.12
Mini Grocery,Faisalabad,Mini Grocery,46042,35,83,Word of Mouth,0.27
Stationery Kiosk,Karachi,Stationery Kiosk,47396,8,52,Word of Mouth,0.37
